"","ID","bio1_1981-2010_V.2.1","bio10_1981-2010_V.2.1","bio11_1981-2010_V.2.1","bio12_1981-2010_V.2.1","bio13_1981-2010_V.2.1","bio14_1981-2010_V.2.1","bio15_1981-2010_V.2.1","bio16_1981-2010_V.2.1","bio17_1981-2010_V.2.1","bio18_1981-2010_V.2.1","bio19_1981-2010_V.2.1","bio2_1981-2010_V.2.1","bio3_1981-2010_V.2.1","bio4_1981-2010_V.2.1","bio5_1981-2010_V.2.1","bio6_1981-2010_V.2.1","bio7_1981-2010_V.2.1","bio8_1981-2010_V.2.1","bio9_1981-2010_V.2.1"
"1",1,25.35,26.7500000000001,23.7500000000001,1075.8,214.5,1.5,85.5,550.7,11.2,286.3,23.2,10.3,64.9,116.1,32.95,17.15,15.8,25.55,23.85
"2",2,26.35,26.85,26.05,2219.1,280.3,66.5,41.4,815.5,250.3,336.9,371.5,5.9,77.1,37.2,30.65,22.95,7.7,26.15,26.55
"3",3,25.05,25.85,24.35,1875.8,316.8,9.6,70.9,880.7,50.8,265.7,86.7,9.2,65.7,57.5,32.7500000000001,18.7500000000001,14,24.95,24.7500000000001
"4",4,26.65,27.2500000000001,26.2500000000001,2301,325.3,47.6,49.4,935,207.9,329,935,6.3,78.2,40.9,31.05,23.05,8,26.2500000000001,26.65
"5",5,24.05,25.35,21.85,1355.4,303.9,5.6,90,759.5,23.3,596.3,23.3,8.4,61.2,151,29.85,16.15,13.7,24.95,21.85
"6",6,21.7500000000001,22.7500000000001,20.05,897,173.4,1.2,88.3,441.7,8.1,351.7,8.1,9.7,68.6,109.8,28.7500000000001,14.65,14.1,22.45,20.05
"7",7,26.35,27.05,25.7500000000001,2254,323.4,75.1,46.7,902.3,251.9,371.7,902.3,6.1,78.1,50.7,30.85,23.05,7.8,25.7500000000001,26.65
"8",8,26.15,27.05,24.85,714.5,154.9,4.5,81.8,384.5,22.3,136.7,171,8.3,74.5,83.6,32.05,20.95,11.1,26.2500000000001,26.2500000000001
"9",9,25.05,25.85,24.15,2031.4,287.8,88.2,37.4,788.7,332.7,362.7,470.2,7.5,73.8,66.1,31.05,20.95,10.1,24.95,24.95
"10",10,25.85,27.65,22.85,1340.2,235.9,24,60.5,612.1,93.4,458.9,138.2,8.9,59.7,197.2,32.45,17.55,14.9,27.55,23.15
"11",11,24.65,26.2500000000001,23.55,1090.5,217.4,1,85.3,551.3,8.6,278.2,25.6,10,66.8,102.2,32.05,17.15,14.9,24.85,23.65
