IND,long,lat,POP
T12_6,-46.63378,-14.57072,Cerado
T14_13,-62.35878,-4.9347,Pursts
T4_17,-60.93833,-11.86256,Madsts
T14_2,-60.823041,-5.494451,Monzea
T8_21,-45.32489167,-18.19009444,Cerado
T15_5,-42.506661,-11.431512,Caanga
T14_19,-58.636303,-4.308816,Madsts
T7_10,-35.820267,-5.543759,Caanga
T9_21,-60.4833,7.3666,Guists
T6_9,-56.032441,-19.548712,Pannal
T9_2,-44.875099,-12.164534,Cerado
T15_12,-39.069421,-15.269563,Bahsts
T4_15,-48.10853,-10.18914,Cerado
T18_16,-51.452538,-1.727539,Xinsts
T14_15,-58.220563,-4.596866,Madsts
T18_13,-54.156756,-1.959224,Uatsts
T5_11,-55.5,-8.6,Matsts
T14_11,-60.221084,-5.80135,Madsts
T14_17,-60.265283,-5.797808,Madsts
T18_1,-45.67948,-13.64572,Cerado
T15_3,-41.949527,-14.933571,Caanga
T5_23,-48.477156,-8.058444,Matsts
T12_43,-72.759636,-8.181975,Iquzea
T10_7,-69.08333588,-12.58333302,Sousts
T14_4,-60.25,-2.533333,Uatsts
T17_23,-40.4378,-10.54049,Caanga
T17_8,-59.783394,3.840808,Guists
T15_14,-40.50947,-20.649432,Bahsts
T12_20,-66.166667,0.833333,Guists
T9_18,-59.3166,5.3166,Guists
T8_17,-60.02040833,-14.92648056,Chists
T16_22,-43.522664,-9.208777,Caanga
T6_6,-50.968448,-12.290398,Cerado
T17_19,-46.885696,-11.22096,Cerado
T12_48,-54.835758,-3.149044,Tapsts
T17_4,-65.05784534,-9.604454711,Madsts
T9_24,-59.78666,4.69722,Guists
T12_2,-60.2917,-12.12391,Cerado
T6_24,-38.238216,-9.406053,Caanga
T14_7,-60.20944444,-5.99222222,Madsts
T16_1,-42.862914,-16.231779,Cerado
T7_12,-40.15683,-4.332024,Caanga
T16_24,-44.961118,-8.880047,Cerado
T18_11,-52.535174,-0.867701,Pursts
T8_12,-46.90484,-16.358871,Cerado
T6_1,-61.039047,-13.478845,Madsts
T9_1,-45.933155,-12.10686,Cerado
T8_19,-47.57648056,-16.78924444,Cerado
T16_15,-54.908248,-9.787507,Matsts
T8_10,-35.207447,-6.277093,Caanga
T8_2,-47.468807,-7.332223,Cerado
T14_9,-61.81583333,-4.31044444,Monzea
T6_19,-39.414664,-7.232758,Caanga
T6_14,-49.79188,-9.945911,Matsts
T12_39,-60.653167,2.816964,Guists
T14_24,-42.48523,-14.065638,Cerado
T16_9,-59.454476,-10.171622,Madsts
T15_18,-53.199907,-17.327807,Cerado
T15_21,-41.00532,-16.43207,Bahsts
T8_14,-42.767835,-18.548402,Bahsts
T4_13,-50.79803,-10.28792,Matsts
T8_23,-46.891475,-16.360981,Cerado
T15_16,-52.92777778,-18.10638889,Cerado
T12_31,-54.715453,4.370284,Guists
T9_14,-55.4245,-24.1333,Altsts
T15_9,-39.489134,-15.18188,Bahsts
T12_45,-65.721811,-8.346214,Pursts
T12_36,-59.285268,4.77606,Guists
T16_13,-53.089379,-13.250325,Matsts
T10_2,-69.08333588,-12.58333302,Sousts
T6_11,-56.5,-20.9,Cerado
T6_16,-41.70865278,-4.100875,Marsts
T7_2,-42.544552,-8.758369,Caanga
T9_4,-44.114265,-13.273384,Cerado
T17_21,-73.66144,-7.43108,Sousts
T7_19,-47.451186,-0.778539,Amaves
T7_5,-37.066671,-8.42208,Caanga
T16_3,-44.298809,-15.153047,Cerado
T12_17,-51.82,-12.94,Cerado
T12_34,-52.679961,4.0879,Guists
T17_10,-61.13086,4.48394,Guists
T16_20,-51.7745,-3.2528,Tapsts
T6_4,-35.2,-6.8,Caanga
T18_19,-53.918437,0.816196,Uatsts
T18_22,-53.233444,-0.935705,Uatsts
T18_23,-56.372729,0.16064,Uatsts
T19_2,-68.429737,-4.675829,Jursts
T19_4,-56.093305,-2.161371,Monzea
T19_9,-56.043817,-1.77406,Monzea
T19_12,-51.285933,-0.11597,Pursts
T20_2,-70.099317,-12.566967,Sousts
T21_6,-46.002441,-15.8036,Cerado
T25_10,-61.40648333,-1.713016667,Japsts
T25_12,-60.98606667,-2.634083333,Japsts
T22_3,-47.527567,-4.306641,Tocsts
T22_5,-49.0737,-5.301916667,Tocsts
T22_7,-51.82860111,-6.62475,Matsts
T25_15,-62.50335,-1.178133333,Japsts
T22_11,-50.038182,-9.978375,Cerado
T24_3,-58.220659,-2.030853,Monzea
T24_5,-64.916292,-0.564792,Japsts
T24_8,-63.184665,-5.630084,Pursts
T24_12,-55.311231,-3.298487,Madsts
T24_15,-56.363165,-1.453134,Uatsts
T24_18,-62.522089,2.598425,Guists
T24_20,-67.293627,-5.43343,Jursts
T24_23,-59.12718,-3.592538,Madsts
T24_27,-62.531689,-5.527522,Pursts
T24_34,-74.69888,-12.09081,Pergas
T25_3,-61.381417,-1.92925,Japsts
T25_5,-61.30876667,-1.897433333,Japsts
T25_7,-61.30876667,-1.897433333,Japsts
T25_17,-62.97945,-0.8992,Japsts
